gers_id,target_id,label,labeler,labeled_at,session_id,original_decision,original_confidence,ref_start_pct,ref_end_pct,target_start_pct,target_end_pct,is_subsegment,name_levenshtein,name_jaro_winkler,name_token_sort,class_similarity,buffer_iou,overlap_ratio,ref_coverage,target_coverage,min_coverage,coverage_ratio,hausdorff_distance_m,mean_hausdorff_distance_m,hausdorff_p95_m,buffer_iou_5m,buffer_iou_15m,heading_delta,length_ratio,projection_distance_m,centroid_distance_m,collinear_gap_ratio,from_degree_ref,to_degree_ref,from_degree_target,to_degree_target,degree_match_score,degree_signature_similarity,is_dead_end_ref,is_dead_end_target,dead_end_match,is_intersection_ref,is_intersection_target,intersection_match,name_soundex,name_metaphone,has_name_ref,has_name_target,name_is_generic,cardinal_direction_mismatch,min_endpoint_proximity_m,max_endpoint_proximity_m,shared_endpoint_count,lateral_offset_m,lateral_offset_iqr_m,lateral_offset_p95_m,graphlet_similarity,endpoint_degree_similarity,ref_data_version,target_data_version,feature_version
1fe424ca-72bf-43ce-be61-dec8adb749be,boston_sidewalk_72814,no_match,brad,2026-01-14 04:22:42.195838+00:00,4435904e,no_match,0.4999783125,0,0.4035080142,0,0.9559654234,True,0.5,0.5,0.5,1,0.999052667,1,0.4035080142,0.9559654234,0.4035080142,0.4220947791,7.365903995,6.246622255,6.997812098,0.2292756004,0.6192292743,4.042349738,1,6.246622255,5.899573922,1,4,4,3,3,0.8571428571,0,0,0,1,1,1,1,0.5,0.5,0,0,0,0,0,0,6,5.975443947,0.02475097099,6.597280209,0.9,0.9,1769224174479666642_35513514,1769224114548405772_19736123,2026-01-23
410eb133-8acf-4c16-ac77-e06c025f017b,boston_sidewalk_102253,no_match,brad,2026-01-14 04:22:49.976464+00:00,4435904e,no_match,0.4999700659,0.02487422206,1,0.546069888,1,True,0.5,0.5,0.5,0.9,0.9993164124,1,0.9751257779,0.453930112,0.453930112,0.4655092935,9.487896026,9.068321552,9.483602585,0.05430795435,0.5195344244,0.6245255596,1,9.068321552,8.903152224,1,3,3,3,3,1,1,0,0,1,1,1,1,0.5,0.5,0,0,0,0,0,0,5,8.919846319,0.5682918969,9.343674753,1,1,1769224174479666642_35513514,1769224114548405772_19736123,2026-01-23
2f298f0d-e95a-4c05-89a3-f0ba2c7cc9f7,boston_sidewalk_102723,match,brad,2026-01-14 04:37:22.054986+00:00,00b607d3,review,0.7497268972,0.01089455826,1,0.3938332224,1,True,0.5,0.5,0.5,1,0.9994577146,1,0.9891054417,0.6061667776,0.6061667776,0.6128434361,1.279797212,0.4509126515,1.23211663,0.9016916989,0.9564842212,9.291334551,1,0.4509126515,0.07135469207,1,3,3,3,3,1,1,0,0,1,1,1,1,0.5,0.5,0,0,0,0,0,0,4,0.4819456195,0.6037461912,1.161190972,1,1,1769224174479666642_35513514,1769224114548405772_19736123,2026-01-23
707ea39b-0db1-48ae-8e9d-af82e3ee1c61,boston_sidewalk_12897,match,brad,2026-01-14 04:37:30.785292+00:00,00b607d3,review,0.7495926371,0.2011552734,0.9410407884,0,1,True,0.5,0.5,0.5,0.9,0.999292094,1,0.7398855149,1,0.7398855149,0.7398855149,1.451059645,1.0315576,1.42254496,0.8538517525,0.9460245047,1.307358144,1,1.0315576,0.7559547122,1,3,3,3,3,1,1,0,0,1,1,1,1,0.5,0.5,0,0,0,0,0,0,5,0.7574921749,0.578117651,1.347902378,1,1,1769224174479666642_35513514,1769224114548405772_19736123,2026-01-23
0f13a367-aadd-4e71-a5ca-a47769c3f6fb,boston_sidewalk_1295,match,brad,2026-01-14 04:37:50.376010+00:00,00b607d3,review,0.749210954,0,1,0.02596822877,0.8815092524,True,0.5,0.5,0.5,0.9,0.9993816572,1,1,0.8555410237,0.8555410237,0.8555410237,4.289344269,4.138425415,4.287826822,0.3791099484,0.7203731831,0.8279241928,1,4.138425415,4.119382654,1,3,3,3,3,1,1,0,0,1,1,1,1,0.5,0.5,0,0,0,0,0,0,4,4.154072902,0.09880504064,4.265488972,1,1,1769224174479666642_35513514,1769224114548405772_19736123,2026-01-23
a9bdfa12-1d91-4e6c-9bbb-4e18847329df,boston_sidewalk_12330,no_match,brad,2026-01-14 04:37:58.028684+00:00,00b607d3,review,0.7491776343,0.05580390859,0.9329947469,0,1,True,0.5,0.5,0.5,0.1,0.9993957385,1,0.8771908383,1,0.8771908383,0.8771908383,2.64532059,2.298190969,2.630668937,0.5999486483,0.84263661,0.5150983494,1,2.298190969,2.463904188,1,4,4,3,3,0.8571428571,0,0,0,1,1,1,1,0.5,0.5,1,0,0,0,0,0,7,2.45087089,0.2630427285,2.634608218,0.9,0.9,1769224174479666642_35513514,1769224114548405772_19736123,2026-01-23
6191ec57-07d1-4636-81d5-792adbe02967,boston_sidewalk_103004,match,brad,2026-01-14 04:38:01.427896+00:00,00b607d3,review,0.7490810252,0.0154466855,1,0.3266109462,1,True,0.5,0.5,0.5,1,0.9997469628,1,0.9845533145,0.6733890538,0.6733890538,0.6839538742,1.031989366,0.6579266421,0.9653515904,0.8501592914,0.9438161789,0.9634695304,1,0.6579266421,0.8182947611,1,3,3,2,3,0.9090909091,0.3333333333,0,0,1,1,1,1,0.5,0.5,0,0,0,0,0,0,4,0.7462051801,0.135661601,0.8372929546,0.95,0.95,1769224174479666642_35513514,1769224114548405772_19736123,2026-01-23
9e6722e8-5308-47fa-aa55-0076f328a3f0,boston_sidewalk_102307,match,brad,2026-01-14 04:38:04.306303+00:00,00b607d3,review,0.7490336766,0,0.7483404334,0,0.9799099574,True,0.5,0.5,0.5,0.9,0.9988725392,1,0.7483404334,0.9799099574,0.7483404334,0.7636828545,0.7389975298,0.2479669705,0.6738864546,0.9393099393,0.9804260653,0.4287787472,1,0.2479669705,0.4242019533,1,3,3,3,3,1,1,0,0,1,1,1,1,0.5,0.5,0,0,0,0,0,0,4,0.3980795004,0.4070244843,0.687671024,1,1,1769224174479666642_35513514,1769224114548405772_19736123,2026-01-23
c69d1947-708d-40cb-894c-6618712ca926,boston_sidewalk_1884,match,brad,2026-01-14 04:38:07.543161+00:00,00b607d3,review,0.7489199703,0.05204364774,1,0.2150528246,1,True,0.5,0.5,0.5,1,0.9991621445,1,0.9479563523,0.7849471754,0.7849471754,0.8280414742,3.499230963,1.565429151,3.495415368,0.7106082789,0.8808786545,9.148769883,1,1.565429151,1.503718778,1,4,3,4,4,0.9333333333,0.3333333333,0,0,1,1,1,1,0.5,0.5,0,0,0,0,0,0,8,1.607013703,1.744646783,3.269565109,0.95,0.95,1769224174479666642_35513514,1769224114548405772_19736123,2026-01-23
fc6d3475-ca3e-4160-a377-f209a43686ce,boston_sidewalk_12701,match,brad,2026-01-14 04:38:16.796317+00:00,00b607d3,review,0.7488968504,0,1,0.4173159444,0.93012074,True,0.5,0.5,0.5,1,0.9988035474,1,1,0.5128047956,0.5128047956,0.5128047956,0.3552431207,0.2435712332,0.3552223109,0.9452452471,0.9803865578,2.142929577,0.9999999999,0.2435712332,0.2436059238,1,2,2,4,3,0.7272727273,0,0,0,1,0,1,0,0.5,0.5,0,0,0,0,0,0,6,0.2435139155,0.1115663777,0.3439405226,0.85,0.85,1769224174479666642_35513514,1769224114548405772_19736123,2026-01-23
