gers_id,target_id,label,labeler,labeled_at,session_id,original_decision,original_confidence,ref_start_pct,ref_end_pct,target_start_pct,target_end_pct,is_subsegment,ref_data_version,target_data_version,feature_version,hausdorff_distance_m,mean_hausdorff_distance_m,hausdorff_p95_m,buffer_iou_5m,buffer_iou_15m,heading_delta,length_ratio,projection_distance_m,centroid_distance_m,collinear_gap_ratio,name_levenshtein,name_jaro_winkler,name_token_sort,name_soundex,name_metaphone,has_name_ref,has_name_target,name_is_generic,cardinal_direction_mismatch,class_similarity,min_endpoint_proximity_m,max_endpoint_proximity_m,shared_endpoint_count,lateral_offset_m,lateral_offset_iqr_m,lateral_offset_p95_m,from_degree_ref,to_degree_ref,from_degree_target,to_degree_target,degree_match_score,degree_signature_similarity,is_dead_end_ref,is_dead_end_target,dead_end_match,is_intersection_ref,is_intersection_target,intersection_match,ref_coverage,target_coverage,min_coverage,coverage_ratio,graphlet_similarity,endpoint_degree_similarity,sinuosity_ref,sinuosity_target,sinuosity_delta,heading_consistency_ref,heading_consistency_target,heading_consistency_delta,vertex_density_ref,vertex_density_target,vertex_density_ratio,length_bin_ref,length_bin_target,length_bin_match,min_length_m,shape_complexity_ref,shape_complexity_target,shape_complexity_delta,name_numeric_match
e683294e-cee0-4ebd-be99-801377e9214b,us_usfs_lolo_4371268,match,brad,2026-01-24T22:12:33.382011+00:00,c808fd96,review,0.7493567467,0.1244831095,1,0.1345126109,1,True,1769266964130444842_13338278,1769267892915933370_2569095,2026-01-24,4.212637907,1.394418645,3.470647525,0.7606913874,0.916294306,78.69326354,1,1.394418645,2.961991642,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,inf,inf,0,1.355023145,1.454477768,3.173517392,3,2,3,1,0.8888888889,0.3333333333,0,1,0,1,1,1,0.8755168905,0.8654873891,0.8654873891,0.9885444799,0.7788888889,0.95,22.95792451,68.26374813,45.30582363,0.6918157721,0.682203018,0.009612754104,0.1484037063,0.1658629659,0.8947368421,2,2,1,114.5523951,12,11,1,0.5
23f63d60-caa4-4a47-91e3-4dca2e30e27e,us_usfs_lolo_65866,match,brad,2026-01-24T22:34:23.149151+00:00,fc681643,review,0.7474251986,0.03195389386,1,0.2600299134,1,True,1769266964130444842_13338278,1769267892915933370_2569095,2026-01-24,517.378292,45.54981735,363.219034,0.4352621507,0.59686682,28.5851575,1,45.54981735,73.90884412,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,inf,inf,0,36.32752814,4.504366296,298.2962839,1,3,3,1,1,1,1,1,1,1,1,1,0.9680461061,0.7399700866,0.7399700866,0.7643954992,1,1,2.315739303,3.096240392,0.7805010896,0.9397798065,0.9213720169,0.01840778956,0.01959433771,0.03800113981,0.515625,3,3,1,3368.32002,47,81,34,0.5
3391d7e0-4c66-4c7c-a3a8-eec19602022a,us_usfs_lolo_4353986,match,brad,2026-01-24T22:34:33.733762+00:00,fc681643,review,0.7431628108,0,0.1421400644,0.002167405179,1,True,1769266964130444842_13338278,1769267892915933370_2569095,2026-01-24,34.86556705,5.373756064,23.13028197,0.4332368248,0.7124479909,0.4655892613,1,5.373756064,2.588451072,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,inf,inf,0,5.097601291,4.584845579,22.96108181,3,3,1,2,0.6666666667,0,0,1,0,1,0,0,0.1421400644,0.9978325948,0.1421400644,0.1424488087,0.7983333333,0.85,1.540694663,1.508781967,0.03191269685,0.9659383506,0.9533399924,0.01259835824,0.0155591546,0.05823569295,0.2671755725,3,3,1,2249.479544,22,34,12,0.5
cb8ec1b4-615e-48c5-a663-087079661062,us_usfs_lolo_244477,match,brad,2026-01-24T22:34:45.395925+00:00,fc681643,review,0.7381446362,0,1,0.466874628,0.484367593,True,1769266964130444842_13338278,1769267892915933370_2569095,2026-01-24,2.658315649,1.179711574,2.462672291,0.777784217,0.9149794042,0.6800144253,1,1.179711574,1.11892331,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,inf,inf,0,1.180713144,0.9816683874,2.554267807,2,2,3,3,0.8,0,0,0,1,0,1,0,1,0.01749296502,0.01749296502,0.01749296502,0.81,0.9,2.617257107,2.55496823,0.0622888773,0.8413105852,0.8251199345,0.01619065077,0.0656668784,0.08025951804,0.8181818182,2,2,1,137.0553957,6,7,1,0.5
4f9d51e4-e0d1-44b7-81d3-4a3c7000a6fe,us_usfs_lolo_236851,match,brad,2026-01-24T22:34:49.373877+00:00,fc681643,review,0.7373748422,0.3301563578,1,0.9405803577,1,True,1769266964130444842_13338278,1769267892915933370_2569095,2026-01-24,8.458337267,4.010349372,6.800348218,0.4617968654,0.781111254,1.118375599,1,4.010349372,3.063191903,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,inf,inf,0,3.681148054,2.741457658,6.658046912,3,2,1,1,0.5714285714,0,0,1,0,1,0,0,0.6698436422,0.05941964226,0.05941964226,0.0887067347,0.8066666667,0.85,1.156738367,1.166846001,0.01010763415,0.9552828868,0.9197669254,0.03551596133,0.02204138363,0.05038030543,0.4375,2,2,1,317.5844184,3,10,7,0.5
68cab8ca-37f1-4899-95c0-6010764169e7,us_usfs_lolo_4372603,match,brad,2026-01-24T22:34:51.877407+00:00,fc681643,review,0.7367466092,0.2335200168,1,0.0005029456306,1,True,1769266964130444842_13338278,1769267892915933370_2569095,2026-01-24,93.7212982,11.44952922,64.25603949,0.5052906523,0.6754121868,4.982400731,1,11.44952922,9.224549417,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,inf,inf,0,7.54568609,3.482055535,54.64798726,3,3,1,1,0.5,0,0,1,0,1,0,0,0.7664799832,0.9994970544,0.7664799832,0.766865675,0.7916666667,0.8,1.121894472,1.071933752,0.04996071981,0.9703443618,0.9499312573,0.02041310451,0.01925659203,0.05006713928,0.3846153846,3,3,1,1038.605376,9,24,15,0.5
3b2a86bf-a415-4f77-b461-32f28679cadf,us_usfs_lolo_4374641,match,brad,2026-01-24T22:34:54.464824+00:00,fc681643,review,0.7365181446,0,0.6656510395,0,0.2906551649,True,1769266964130444842_13338278,1769267892915933370_2569095,2026-01-24,44.04801754,5.14929452,13.20597627,0.3626508488,0.7096104492,3.769460675,1,5.14929452,12.38365572,1,0.5,0.5,0.5,0.5,0.5,1,0,0,0,0.5,inf,inf,0,5.056264432,5.23557456,13.3515109,3,3,3,3,1,1,0,0,1,1,1,1,0.6656510395,0.2906551649,0.2906551649,0.4366479546,0.915,1,3.985971416,4.131580459,0.1456090429,0.9281131842,0.9123128352,0.01580034902,0.02884562046,0.0623943312,0.4623115578,3,3,1,6378.784616,126,220,94,0.5
6f69b688-0b4c-44e8-ad08-c6edb597f7cb,us_usfs_lolo_4342489,no_match,brad,2026-01-24T22:34:59.723768+00:00,fc681643,review,0.7344902754,0,1,0.1901821883,0.824143928,True,1769266964130444842_13338278,1769267892915933370_2569095,2026-01-24,12698.19967,4202.64779,11666.06004,0.000212773024,0.0007455444823,12.22628027,1,4202.64779,7880.930837,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,inf,inf,0,5819.041011,7323.351386,10000,3,2,3,3,0.9090909091,0.3333333333,0,0,1,1,1,1,1,0.6339617398,0.6339617398,0.6339617398,0.9066666667,0.95,4.218876471,1.180455867,3.038420604,0.9440068503,0.9770283465,0.03302149621,0.01871095612,0.0388705024,0.4813664596,3,3,1,16567.8332,237,99,138,0.5
5c2ee44d-6776-430b-b911-cd10eded87d5,us_usfs_lolo_304302,match,brad,2026-01-24T22:35:06.867004+00:00,fc681643,review,0.7339583635,0.97919416,1,0,0.4885581194,True,1769266964130444842_13338278,1769267892915933370_2569095,2026-01-24,4.04865451,2.166502793,3.850880191,0.6131722094,0.8507683678,1.656025929,1,2.166502793,2.3941021,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,inf,inf,0,2.371730997,1.582791654,3.732826482,1,1,3,3,0.5,0,1,0,0,0,1,0,0.02080583997,0.4885581194,0.02080583997,0.04258621267,0.8,0.8,1.000369225,1.005391478,0.005022252616,0.9946444123,0.9589974069,0.0356470054,0.03148028108,0.08394741623,0.375,1,1,1,95.29775137,0,0,0,0.5
b73730b4-1915-4dd9-9d23-c32ad777cad6,us_usfs_lolo_288383,match,brad,2026-01-24T22:35:09.492536+00:00,fc681643,review,0.7331624031,0,1,0.00088124873,0.1040807156,True,1769266964130444842_13338278,1769267892915933370_2569095,2026-01-24,8.400064331,4.487069959,8.148218608,0.4394988081,0.7624223794,2.505393501,1,4.487069959,3.077119956,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,inf,inf,0,3.878951801,3.779272773,7.97160494,3,3,3,3,1,1,0,0,1,1,1,1,1,0.1031994669,0.1031994669,0.1031994669,0.9933333333,1,1.054164302,1.072039401,0.01787509891,0.928357259,0.9214780746,0.00687918444,0.03833516414,0.04381161616,0.875,2,2,1,182.5999746,2,4,2,0.5
