source_batch,group_id,consensus,choice,edge_set,routing,n_votes,n_valid,minority,mean_confidence,route_reason,evidence_id,evidence_pack_sha256,displayed_candidate_universe_sha256,option_menu_sha256,chosen_option_id,panel_invocation_sha256,consensus_policy_sha256
nl_amsterdam_roads_w0707,20c99dcc,unanimous,A,"[[""376dad3f-f5b5-403f-8c15-30926e025db0"", ""ams_road_600420823.0_88196952c3""], [""376dad3f-f5b5-403f-8c15-30926e025db0"", ""ams_road_600420828.0_88196952c3""]]",auto_accept,3,3,,0.947,unanimous,,,,,,,
nl_amsterdam_roads_w0707,88d9c5b1,majority,NONE,[],human_review,3,3,claude=C,0.935,dissent:claude=C,,,,,,,
nl_amsterdam_roads_w0707,ac850e5e,unanimous,A,"[[""54fa8edb-348c-4266-a94f-cd298e56150d"", ""ams_road_247379098.0_881969c98b""], [""54fa8edb-348c-4266-a94f-cd298e56150d"", ""ams_road_247379114.0_881969c9d7""], [""54fa8edb-348c-4266-a94f-cd298e56150d"", ""ams_road_247379115.0_881969c9d7""]]",auto_accept,3,3,,0.943,unanimous,,,,,,,
nl_amsterdam_roads_w0707,cfc14f4a,majority,C,"[[""053b7b04-445f-46fb-b73f-5491c0d4d632"", ""ams_road_600981914.0_8819695121""], [""10f011f3-2028-4f35-8d8d-6f12e3cd4473"", ""ams_road_223359082.0_8819695121""], [""10f011f3-2028-4f35-8d8d-6f12e3cd4473"", ""ams_road_223360176.0_8819695121""], [""10f011f3-2028-4f35-8d8d-6f12e3cd4473"", ""ams_road_223360177.0_8819695121""], [""10f011f3-2028-4f35-8d8d-6f12e3cd4473"", ""ams_road_601089319.0_8819695121""], [""16a92b37-c4dd-4001-9e11-9ae88b164ca6"", ""ams_road_601088387.0_8819695121""], [""195fac5b-f9f3-4c00-a15c-87d970e6f15e"", ""ams_road_600474739.0_8819695121""], [""195fac5b-f9f3-4c00-a15c-87d970e6f15e"", ""ams_road_600474740.0_8819695121""], [""2233b62c-0bd2-4f07-b0eb-9272e1aa396c"", ""ams_road_601089322.0_881969512b""], [""2233b62c-0bd2-4f07-b0eb-9272e1aa396c"", ""ams_road_601197639.0_881969512b""], [""243c0326-bb4e-4ee3-a0b6-3b94c3d9f093"", ""ams_road_224360127.0_8819695121""], [""361d852d-b26a-45d1-9c33-95c5bf2d0b95"", ""ams_road_600981908.0_8819695121""], [""49e6ce5c-d116-4811-a1dc-aebc50d23863"", ""ams_road_601197605.0_8819695129""], [""4eabf559-1e46-428a-901d-b2491f84d91c"", ""ams_road_223360188.0_8819695121""], [""53cb8d24-9d9f-45fb-9c9a-5b185a825466"", ""ams_road_600981918.0_8819695121""], [""68351c67-74f2-4d3c-beca-4e7a2d778f85"", ""ams_road_600415079.0_8819695121""], [""6aeafe7e-3ccb-40fb-8d32-a38a33a85725"", ""ams_road_223360190.0_8819695121""], [""8177cab3-4a12-428e-9b23-048cc56ac913"", ""ams_road_223360189.0_8819695121""], [""8b4939f0-96e8-4cbe-b33e-49a2acb3a19a"", ""ams_road_224360126.0_8819695121""], [""8c1bb3ce-e0a0-4201-9ecc-86b9e38b5019"", ""ams_road_224360129.0_8819695121""], [""8c2f0dae-92fd-46ba-921f-2830d8199ed2"", ""ams_road_223360179.0_8819695121""], [""9576573f-0ec9-4052-be43-c28c51d985af"", ""ams_road_600981907.0_8819695129""], [""a94e8845-0642-4d0a-858b-727ae68913d9"", ""ams_road_224360130.0_8819695121""], [""a94e8845-0642-4d0a-858b-727ae68913d9"", ""ams_road_224360132.0_8819695121""], [""a94e8845-0642-4d0a-858b-727ae68913d9"", ""ams_road_600752116.0_8819695121""], [""a94e8845-0642-4d0a-858b-727ae68913d9"", ""ams_road_600752117.0_8819695121""], [""a94e8845-0642-4d0a-858b-727ae68913d9"", ""ams_road_600982003.0_8819695121""], [""a94e8845-0642-4d0a-858b-727ae68913d9"", ""ams_road_601088418.0_8819695121""], [""a94e8845-0642-4d0a-858b-727ae68913d9"", ""ams_road_601191934.0_8819695121""], [""a94e8845-0642-4d0a-858b-727ae68913d9"", ""ams_road_601191935.0_8819695121""], [""b997f80d-5785-4918-aad2-ffa0fb658bb3"", ""ams_road_223360191.0_8819695121""], [""d314c226-6504-4d5e-a85a-3d0b1e9f7c0f"", ""ams_road_223360185.0_8819695121""], [""dff5c9bd-84de-4844-bf73-1a9b2184a295"", ""ams_road_223360177.0_8819695121""], [""f55e70dc-4fcc-4b02-a285-239cf35b0c56"", ""ams_road_223360180.0_8819695121""], [""f55e70dc-4fcc-4b02-a285-239cf35b0c56"", ""ams_road_601088386.0_8819695121""]]",human_review,3,3,opencode=I,0.62,dissent:opencode=I,,,,,,,
nl_amsterdam_roads_w0707,ffdf54cd,unanimous,B,"[[""a6f0b126-d8a6-4149-a364-dd1e8143fdb7"", ""ams_road_244369108.0_8819695229""]]",auto_accept,3,3,,0.933,unanimous,,,,,,,
nl_amsterdam_roads_physical_context_v7_20260715,bdbdf792,majority,NONE,[],human_review,3,3,muse=A,0.825,dissent:muse=A,9d918c67de7b64cf1401783f12203a5f44e20b12ad737140d2f201d7aa72bfaf,c88a6377832f84f8705f4d4d69c8b0b25c276399c7c6a5a1432df1cd47403149,acc062bcfdd89c887176a631ad73a3b37c21380fbd6d7b55e5bc8b0e2150616e,16767454128dd601761b8588d2152e5436ccd06c128f9a7bcf1c09fc333aa319,NONE,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
nl_amsterdam_roads_physical_context_v7_20260715,9f56d71d,majority,H,"[[""09af3c21-a1e6-4bc2-a509-af3189359720"", ""ams_road_600522555.0_8819695331""], [""09af3c21-a1e6-4bc2-a509-af3189359720"", ""ams_road_601585859.0_881969533b""], [""09af3c21-a1e6-4bc2-a509-af3189359720"", ""ams_road_601585860.0_881969533b""], [""26d5893d-f37c-4e07-82f5-a50a414624f4"", ""ams_road_600522555.0_8819695331""], [""66cca839-93f3-404c-966a-ee0631b7ad2e"", ""ams_road_600522555.0_8819695331""], [""66cca839-93f3-404c-966a-ee0631b7ad2e"", ""ams_road_601585859.0_881969533b""], [""99bd45a3-6072-4500-acd8-ec7b3ec1ffcc"", ""ams_road_236366021.0_881969533b""], [""99bd45a3-6072-4500-acd8-ec7b3ec1ffcc"", ""ams_road_601585860.0_881969533b""], [""99bd45a3-6072-4500-acd8-ec7b3ec1ffcc"", ""ams_road_601591611.0_881969533b""]]",human_review,3,3,muse=A,0.67,dissent:muse=A,64bc71f477e0f859c3cf8d8cdbb63445bf14752824fd07c1d1a360bfe8372042,decf717c742a20e79ac5d53ff48757ae950cb5b2c2f14065ba405fbbf76c1a91,21ce063d68b0e4ba4ab6ab20e3054e81a604af7c7336b97a19ba1d9a447204d4,5764a491c6ed664f444a32c6b5ac6c56ab1349850bace7a7c3037340c5b81b6a,fc3e183dfbb7a1d80a56b168c56ccb2615abb9458f51156c7c293d73bc602ccb,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
nl_amsterdam_roads_physical_context_v7_20260715,6775ade1,none,NONE,[],human_review,3,3,codex=E; muse=A,0.5,no_majority,5a0d57c3feda9fa8331467ed07b5eee617a5f9807800e68c2b78f239ecdfe558,cc3740c0a381a8bad77e2bf71978dd1716f3205d14efbcaa715f381aa26e951c,a2eb8095a00cb5824b20159d35cb9de0a22c348bfa3962c055a13654c8e9a347,92ac04605a3f1890b102f31b6e5df91590345d72c65eabece71657c0d0661e66,NONE,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
nl_amsterdam_roads_physical_context_v7_20260715,61a926e3,majority,A,"[[""0e23e880-672d-4074-90b8-a5ee421f29f0"", ""ams_road_600124878.0_881969c9bb""], [""0e23e880-672d-4074-90b8-a5ee421f29f0"", ""ams_road_600394313.0_881969526d""], [""26655120-9953-4c5a-8551-74788b0874ae"", ""ams_road_600124878.0_881969c9bb""], [""e2cfc5c1-5d30-4f76-9e6b-3e62c9147f7a"", ""ams_road_600394313.0_881969526d""]]",human_review,3,3,claude=B,0.88,dissent:claude=B,6837427242cc8497d6456e0b187b94f0c8db116bc5ce10dc2ccfba876d05a42e,4eaca5db4a6dfa54b4a7b6c56a6cc4a386abeea0632e5c88487d1b5b29f27da1,34aacd1cef0cc9d96595e3fe98d48f5880478d4a18a35dca204321ba0870e244,1241599e21a5c1dffaea96f1daebf8b9d6bb3b315166f0cb932372a127de458d,34aacd1cef0cc9d96595e3fe98d48f5880478d4a18a35dca204321ba0870e244,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
nl_amsterdam_roads_physical_context_v7_20260715,5e31936e,unanimous,G,"[[""ba72da05-ac0a-4106-8017-288cb6b49838"", ""ams_road_600403434.0_881969c913""], [""ba72da05-ac0a-4106-8017-288cb6b49838"", ""ams_road_600403438.0_881969c913""], [""ba72da05-ac0a-4106-8017-288cb6b49838"", ""ams_road_601119134.0_881969c913""]]",human_review,3,3,,0.837,low_confidence,3a09dd980837753c4c6c564ad7ef34a311847e02fb8518665d7a68503ca5e340,389527ea28ce0fa2ab1ffdcf5ad8fd00284329d3378edfd12ce9b9b3f6f44583,53685d886f8bcbf110ff3721a9fda8ca44f7a7775a9a01be22bb32dc2032e76a,f36d847760b2e4ef47624ab1a0a2c89acd5430a28b930f85c91494a4db5470a9,541fbd36fc262eac42d77e466d1899c1f902bd2c03990ccaa9b384b0bc826fbf,368db44955d86c9ae77f4458cdc079fe4db334b72a35a3c6a19917ab0b2d1049,6adf53ac2b96ccc53645ebabb2429178af9b74fb9154592073970c6089fe22f9
