ref_id,target_id,label,confidence,reasoning,labeler,dataset,agent_id,labeled_at
0147f592-2179-4943-a48b-f69cc8206899,sp_road_198851,no_match,0.95,Parallel lines with consistent lateral offset - these are two separate adjacent features not the same road with digitization error,claude_opus_geometry_only,br_sao_paulo_roads,,
01d0aa7d-37a8-4026-9db1-5ad8514c30b1,sp_road_9932,match,0.85,Blue and red segments follow same path with slight offset likely from digitization error and both represent Avenida Santa Inês,claude_opus_geometry_only,br_sao_paulo_roads,,
02cedf16-3911-460e-9530-c5ef42306de5,sp_road_147032,match,0.95,Blue segment is short subsegment that lies directly on the red line path with same heading and names match (Rua Polônia),claude_opus_geometry_only,br_sao_paulo_roads,,
0333e474-3b0f-42a9-b5d1-b4ffe37aef87,sp_road_5779,match,0.85,Blue and red segments follow the same diagonal path with slight offset consistent with digitization error; names match (Avenida Gaivotas / AV GAIVOTAS); red segment appears to be subsegment of same road feature,claude_opus_geometry_only,br_sao_paulo_roads,,
038a6ab4-e8c9-4d88-9546-70d09b7fc477,sp_road_143957,match,0.95,Blue segment is a short subsection at north end of longer red segment - both follow same curving road path with names matching (Avenida Paulo Guilguer Reimberg),claude_opus_geometry_only,br_sao_paulo_roads,,
051bee78-6ca3-4327-8740-968ba4f6800b,sp_road_11127,no_match,0.85,Parallel segments with consistent offset - likely separate carriageways or road vs adjacent feature not same physical feature,claude_opus_geometry_only,br_sao_paulo_roads,,
152d7613-9f0b-4c1f-aecb-365c884d241e,sp_road_141817,match,0.95,Blue and red segments follow the same curved path with blue being a subsegment of the longer red line - same road (Estrada do M'Boi Mirim) with matching primary class and near-identical heading,claude_opus_geometry_only,br_sao_paulo_roads,,
16d65b21-92f9-4ccf-9102-a9da79383414,sp_road_220240,no_match,0.9,Blue and red segments meet at a point but diverge at ~30 degrees - different roads intersecting not the same road,claude_opus_geometry_only,br_sao_paulo_roads,,
181879ee-8256-4e82-81cb-6470041f6855,sp_road_172436,no_match,0.85,Red segment diverges at angle from blue line - appears to be different street or branch not overlapping same path,claude_opus_geometry_only,br_sao_paulo_roads,,
186f2584-b318-4a41-9426-0116fed92b2c,sp_road_126007,match,0.95,Blue and red segments follow the same diagonal path with red being a subsegment of blue - same road (Rua Juazeiro do Norte) with minor digitization offset,claude_opus_geometry_only,br_sao_paulo_roads,,
1da06405-d1aa-4f26-8fdf-6f5ad7bcddb3,sp_road_86221,no_match,0.9,Parallel segments with consistent offset - cycleway vs primary road bridge are adjacent but separate features,claude_opus_geometry_only,br_sao_paulo_roads,,
23cd2323-8ff0-478a-ad9b-6b13cb1fe58d,sp_road_83199,match,0.85,Blue and red segments follow same curved path with slight offset likely from digitization variance,claude_opus_geometry_only,br_sao_paulo_roads,,
25669311-6b4e-4e95-8f33-878abd047e65,sp_road_67314,no_match,0.9,Blue and red segments run parallel but are clearly separate features - red appears to be a loop/different road while blue is a straight segment offset to the side,claude_opus_geometry_only,br_sao_paulo_roads,,
2928b223-1d0f-4179-a64b-bdd8102dfa6f,sp_road_220491,match,0.9,Blue and red segments follow the same path with overlapping section; red is a shorter subsegment of the same road with ~22 degree heading difference likely due to curve; names match (Rua Antônio Pereira de Sá),claude_opus_geometry_only,br_sao_paulo_roads,,
2ad66b75-19fc-43ab-941d-59519b4a051c,sp_road_158021,match,0.9,Blue and red segments follow the same diagonal path with red being a subsegment of blue; same road class and matching names (Rua Fernando Ganga),claude_opus_geometry_only,br_sao_paulo_roads,,
2b046951-84f0-4aac-b668-87169a6aed81,sp_road_126848,no_match,0.95,Reference is footway class while target is tertiary road - different feature types and blue segment diverges at angle from red road segment,claude_opus_geometry_only,br_sao_paulo_roads,,
2bae32c9-1e78-49a5-83db-3abc29be4dac,sp_road_45568,match,0.95,Blue and red lines follow same diagonal path with minimal offset and nearly identical lengths; names match (Avenida Mateo Bei); small parallel gap is consistent with digitization error not separate carriageways,claude_opus_geometry_only,br_sao_paulo_roads,,
2cdf7676-bb28-474b-8944-e69b46b66f6d,sp_road_97625,no_match,0.85,Cycleway vs residential road - different feature types even though geometries overlap along same corridor (Minhocão),claude_opus_geometry_only,br_sao_paulo_roads,,
2e720328-1199-4802-bacf-9cef13964490,sp_road_201546,no_match,0.85,Blue segment is short stub heading different direction than long red curved road; different names and heading delta of 29 degrees indicates perpendicular connection not same feature,claude_opus_geometry_only,br_sao_paulo_roads,,
308b3789-bff4-4a5b-ad6f-27fc38177b62,sp_road_30132,match,0.95,Blue and red lines follow same diagonal path with minimal offset and similar lengths representing same tertiary road Rua Jose Alexandre Almeida Luiz,claude_opus_geometry_only,br_sao_paulo_roads,,
312ac770-9695-45ee-aff9-550027cb1d09,sp_road_39066,no_match,0.9,Red segment diverges at angle from blue segment - heading delta ~35 degrees indicates different streets meeting at intersection not same feature,claude_opus_geometry_only,br_sao_paulo_roads,,
316c1dde-3e62-4efe-8c6c-ce68f2bdefb6,sp_road_164132,no_match,0.85,Blue and red segments meet at a point but diverge at ~55 degree angle indicating perpendicular/intersecting streets not same physical feature,claude_opus_geometry_only,br_sao_paulo_roads,,
