gers_id,target_id,ref_geometry_wkt,target_geometry_wkt,ref_attributes,target_attributes
894aa748-3f3b-4524-a5ba-51b8550168e1,bog_road_271526,"LINESTRING (-74.0989447999999982 4.7144054999999998, -74.0988830999999948 4.7144668999999997, -74.0988559000000038 4.7144940000000002, -74.0988825999999960 4.7145196000000000, -74.0989837000000051 4.7146163000000003, -74.0991065999999989 4.7147338999999997, -74.0992183999999980 4.7148408999999996, -74.0993399000000039 4.7149568999999998, -74.0994426999999973 4.7150555000000001, -74.0995546000000047 4.7151626000000002, -74.0996841000000046 4.7152865000000004, -74.0997880999999978 4.7153860999999999, -74.0999008000000003 4.7154939000000002, -74.0999199999999973 4.7155122000000000, -74.1000157999999942 4.7156038999999996, -74.1001265000000018 4.7157099000000002, -74.1001791999999995 4.7157603000000003, -74.1003000999999983 4.7158759999999997, -74.1004058999999984 4.7159772000000002, -74.1004731000000021 4.7160415999999996, -74.1005061999999981 4.7160732000000003, -74.1006164000000069 4.7161787000000004, -74.1007297000000023 4.7162870999999997, -74.1008450000000067 4.7163974000000000, -74.1009504000000021 4.7164982999999996, -74.1010816999999946 4.7166240000000004, -74.1011196999999981 4.7166603000000000, -74.1012013999999937 4.7167384999999999, -74.1012436000000037 4.7167788000000002, -74.1013119999999930 4.7168443000000000, -74.1013709000000063 4.7169007000000001, -74.1014751999999959 4.7170005000000002, -74.1016024000000044 4.7171222000000004, -74.1017185000000040 4.7172333000000002, -74.1017681000000010 4.7172808000000002, -74.1018174000000016 4.7173280000000002, -74.1019462999999945 4.7174512999999996, -74.1020568999999938 4.7175570999999996, -74.1021723000000065 4.7176676000000004, -74.1022995000000009 4.7177892999999997, -74.1023868000000050 4.7178728999999997, -74.1024938000000049 4.7179751999999997, -74.1025850999999989 4.7180625999999997)","LINESTRING (-74.1016024510000193 4.7171066679999853, -74.1017008530000112 4.7172019430000205)","{""class"": ""footway"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""between"": [0.0, 0.023717235], ""value"": ""crosswalk""}, {""between"": [0.023717235, 1.0], ""value"": ""sidewalk""}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""0900000000"", ""class"": ""tertiary""}"
5bf3386a-370f-44ae-aca9-81c005c982d4,bog_road_182697,"LINESTRING (-74.1587652999999989 4.5784582000000000, -74.1586647000000028 4.5782277000000002, -74.1590178000000009 4.5780348999999996)","LINESTRING (-74.1587404699999979 4.5784252500000093, -74.1587527039999941 4.5784453840000197, -74.1588479999999777 4.5786022199999934)","{""name"": ""Carrera 49C Bis B"", ""class"": ""residential"", ""names_lr"": [{""between"": [0.0, 0.384214132], ""value"": ""Calle 68D Bis B Sur""}, {""between"": [0.384214132, 1.0], ""value"": ""Carrera 49C Bis B""}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""068DBISBS0"", ""class"": ""tertiary""}"
1b51d185-f5e6-41b9-9018-d5c3a104bc9d,bog_road_241021,"LINESTRING (-74.1177627000000001 4.7166017000000000, -74.1179008000000010 4.7165942999999997, -74.1179774999999950 4.7165590000000002, -74.1181248000000039 4.7164343000000004, -74.1183312000000001 4.7162718999999997, -74.1185341999999991 4.7161133000000000, -74.1187350999999950 4.7159545999999999, -74.1189380000000000 4.7157805000000002, -74.1191333999999955 4.7156386000000001, -74.1193380999999931 4.7154676999999996, -74.1195924000000019 4.7152656999999998, -74.1199562000000043 4.7149909000000001, -74.1201590999999951 4.7148345999999997, -74.1203526999999980 4.7146714999999997, -74.1205491999999992 4.7145099000000004, -74.1207579999999950 4.7143395999999997, -74.1209522999999990 4.7141846000000003, -74.1210298000000023 4.7141229999999998, -74.1211593000000022 4.7140193999999997, -74.1212837000000064 4.7139248000000000, -74.1213568000000009 4.7138692000000004, -74.1215578999999991 4.7137183000000000, -74.1216783999999933 4.7136205000000002, -74.1217618000000016 4.7135528999999998, -74.1219423000000006 4.7134100999999999, -74.1221412000000015 4.7132475999999999, -74.1223437999999959 4.7130752999999999, -74.1225375000000071 4.7129371999999998, -74.1227351999999939 4.7127733999999997, -74.1229325000000046 4.7126213000000003, -74.1231432000000012 4.7124588000000003, -74.1232097000000039 4.7123996000000004, -74.1233655999999996 4.7122881999999997, -74.1235669000000001 4.7121180999999996, -74.1237732999999963 4.7119570000000000, -74.1240384000000034 4.7117471999999996, -74.1240774999999985 4.7117072999999996, -74.1241121000000049 4.7116709999999999, -74.1241437999999988 4.7117046000000000, -74.1244652000000031 4.7120663000000000, -74.1247656999999975 4.7123856999999996, -74.1249521999999956 4.7125940000000002, -74.1252037999999942 4.7128591999999996, -74.1252735000000058 4.7129060000000003, -74.1253298999999970 4.7129120000000002, -74.1253626999999966 4.7128946999999997, -74.1254643999999985 4.7128356000000000, -74.1255441999999931 4.7127545000000000, -74.1256503000000038 4.7126469000000002, -74.1258377000000053 4.7124535999999999, -74.1262559000000039 4.7120031999999998, -74.1264206999999971 4.7118289000000004)","LINESTRING (-74.1229597600000147 4.7126398400000085, -74.1227878000000260 4.7127764499999785, -74.1227641419999941 4.7127944879999859, -74.1227564399999892 4.7128003600000170)","{""class"": ""footway"", ""subclass"": ""sidewalk"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": ""sidewalk""}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""1100000000"", ""class"": ""secondary""}"
0fb4c722-0681-4ee4-8bce-b185f05baab8,bog_road_210259,"LINESTRING (-74.2082989999999967 4.6133549000000000, -74.2083812999999992 4.6132824000000001)","LINESTRING (-74.2085048899999720 4.6131288999999924, -74.2084797950000166 4.6131552420000048, -74.2083508299999721 4.6132906199999866)","{""name"": ""Calle 84B Sur"", ""class"": ""residential"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": ""Calle 84B Sur""}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""084B0000S0"", ""class"": ""tertiary""}"
8d270c3f-133a-451d-a25e-ea35e40bad5c,bog_road_189393,"LINESTRING (-74.1579840999999931 4.5402741000000004, -74.1579837000000026 4.5406491000000004, -74.1578291999999948 4.5409895000000002)","LINESTRING (-74.1578881699999783 4.5411721099999909, -74.1578881699999783 4.5407983499999887)","{""name"": ""Carrera 26B"", ""class"": ""footway"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": ""Carrera 26B""}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""026B000000"", ""class"": ""tertiary""}"
b70a3392-f822-44d0-ad63-c08d909f1de8,bog_road_149592,"LINESTRING (-74.1700838999999945 4.6477763999999997, -74.1699631000000039 4.6478767000000003)","LINESTRING (-74.1695655199999919 4.6471864999999752, -74.1700284610000153 4.6477352630000155, -74.1700455499999975 4.6477555199999756, -74.1700376840000217 4.6477718460000119, -74.1699975500000050 4.6478551499999980)","{""name"": ""Carrera 95A"", ""class"": ""residential"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": ""Carrera 95A""}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""0340BIS0S0"", ""class"": ""pedestrian""}"
877759c5-1d8a-49ba-afd8-bf91f86e6e7e,bog_road_182142,"LINESTRING (-74.1241313000000019 4.4964526999999999, -74.1234656999999970 4.4966106999999997)","LINESTRING (-74.1241692899999975 4.4967148399999815, -74.1241586770000254 4.4966747749999740, -74.1241025240000226 4.4964628029999858, -74.1240941099999873 4.4964310400000045)","{""name"": ""Calle 100C Sur"", ""class"": ""residential"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": ""Calle 100C Sur""}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""0080000000"", ""class"": ""pedestrian""}"
371093cf-a2b7-40e0-85ec-5c1a22256c2b,bog_road_237627,"LINESTRING (-74.1980503999999996 4.6330983999999997, -74.1980183999999952 4.6330381999999997)","LINESTRING (-74.1980357499999741 4.6330556300000012, -74.1980792670000255 4.6331398959999888, -74.1980832400000168 4.6331475900000214)","{""name"": ""Avenida Calle 63 Sur"", ""class"": ""secondary"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": ""Avenida Calle 63 Sur""}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""06300000S0"", ""class"": ""secondary""}"
f492e959-8c0f-4b69-8557-eb237cb58f29,bog_road_226464,"LINESTRING (-74.1248348999999962 4.7432230999999998, -74.1251069000000058 4.7431162000000002, -74.1251247000000006 4.7431175000000003, -74.1251522999999963 4.7431343000000004)","LINESTRING (-74.1251168200000166 4.7431141399999888, -74.1251224009999987 4.7431200600000238, -74.1251283400000034 4.7431263589999730, -74.1251533999999879 4.7431529400000159, -74.1253217899999868 4.7430737600000157)","{""name"": ""Calle 135"", ""class"": ""residential"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": ""Calle 135""}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""1350000000"", ""class"": ""tertiary""}"
81c0050c-421d-451c-bbbf-c3ea49e48f6f,bog_road_150212,"LINESTRING (-74.1746126000000032 4.6421735000000002, -74.1747584000000018 4.6424297000000001)","LINESTRING (-74.1747343800000181 4.6424212699999998, -74.1747371490000091 4.6424261249999859, -74.1748394599999870 4.6426055300000257, -74.1748765500000218 4.6426696199999924)","{""name"": ""Calle 42A Sur"", ""class"": ""tertiary"", ""names_lr"": [{""between"": [0.0, 1.0], ""value"": ""Calle 42A Sur""}], ""subclass_lr"": [{""between"": [0.0, 1.0], ""value"": null}], ""level_lr"": [{""between"": [0.0, 1.0], ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""042A0000S0"", ""class"": ""secondary""}"
