gers_id,target_id,ref_geometry_wkt,target_geometry_wkt,ref_attributes,target_attributes
f9122200-0a9a-4e37-b69f-b9dc5a6931ce,au_melbourne_73,"LINESTRING (144.9436013000000116 -37.8372882999999973, 144.9430546000000106 -37.8378670000000028, 144.9426432999999861 -37.8383089000000012)","LINESTRING (144.9454001238520107 -37.8352601859307001, 144.9450763556430104 -37.8356121836320014, 144.9448751921009944 -37.8358306550845001, 144.9446731087340083 -37.8360501159508971, 144.9438990187290131 -37.8368907751144974, 144.9435611475049939 -37.8372571607110970, 144.9423477189309892 -37.8385699037918002, 144.9414332914959971 -37.8395687447421025, 144.9407954953979925 -37.8402654152069999, 144.9399993990400048 -37.8411252614156979, 144.9392222849820087 -37.8419645698918004, 144.9385347585649981 -37.8427153819146014, 144.9381551279660130 -37.8431342065849989)","{""name"": ""Bay Street"", ""class"": ""primary"", ""names_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": ""Bay Street""}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""level_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""BAY STREET"", ""class"": ""secondary""}"
5d99d587-3724-4fc7-80ad-5ec6dbfb16f1,au_melbourne_9547,"LINESTRING (145.0290640999999994 -37.6863750999999993, 145.0290530999999987 -37.6864354000000006, 145.0288429999999948 -37.6874145999999968, 145.0288309000000027 -37.6874645999999984, 145.0288123999999925 -37.6875149999999977, 145.0287144000000126 -37.6875057999999967, 145.0285890000000109 -37.6874922000000012, 145.0284423999999888 -37.6874930999999975, 145.0283235999999931 -37.6874923000000024)","LINESTRING (145.0284849030130090 -37.6874557440480018, 145.0287452271680024 -37.6874816131760966)","{""class"": ""footway"", ""names_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""subclass_lr"": [{""start"": 0.0, ""end"": 0.039355176, ""value"": ""crosswalk""}, {""start"": 0.039355176, ""end"": 0.681205493, ""value"": ""sidewalk""}, {""start"": 0.681205493, ""end"": 1.0, ""value"": ""crosswalk""}], ""level_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""DALTON ROAD OF"", ""class"": ""secondary""}"
07a8cc8d-00d6-472d-8370-cf3214524d25,au_melbourne_2219,"LINESTRING (145.2140196000000003 -37.8573948000000016, 145.2142372000000137 -37.8572403000000008, 145.2150062000000048 -37.8567389999999975)","LINESTRING (145.2131039471479994 -37.8580189586622993, 145.2140723829189994 -37.8573946700008008, 145.2150713264389879 -37.8567507041319971)","{""name"": ""Mountain Highway"", ""class"": ""primary"", ""names_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": ""Mountain Highway""}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""level_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""WANTIRNA-SASSAFRAS ROAD"", ""class"": ""secondary""}"
c81f4e29-a1f7-4b1c-99f2-9859a8a89bf3,au_melbourne_1534,"LINESTRING (144.9917480999999952 -37.8750998000000010, 144.9917455000000075 -37.8751411000000004, 144.9917428999999913 -37.8751701999999995, 144.9917365000000018 -37.8752187999999990, 144.9917341000000022 -37.8752532999999971, 144.9917317999999966 -37.8752975000000021)","LINESTRING (144.9912984997799867 -37.8745275847127019, 144.9917317581910083 -37.8752192442952023, 144.9923693298779881 -37.8762370863902973, 144.9928690262790099 -37.8770347999183983, 144.9937195867350113 -37.8783925788780991, 144.9947930311699906 -37.8800957087914014, 144.9960634462900089 -37.8821034704674986, 144.9967193106029981 -37.8831156324599974, 144.9967511467829979 -37.8834882848546002, 144.9965490328999920 -37.8831440517309019, 144.9959604635940025 -37.8821415171525970, 144.9953979104230086 -37.8812525440704988, 144.9949438811150060 -37.8805350586019003, 144.9946905177019971 -37.8801346626280022, 144.9945268154490066 -37.8798759572169033, 144.9940406367510093 -37.8791076304809025, 144.9936144734809886 -37.8784273601541983, 144.9931162135850116 -37.8776319838342985, 144.9927318072149944 -37.8770183307874007, 144.9922447977299953 -37.8762408805508031, 144.9918342567619902 -37.8755854801352001, 144.9915944517580044 -37.8752026459062989, 144.9912876223640126 -37.8747128148048020, 144.9911613424380050 -37.8745112110795006)","{""class"": ""primary"", ""subclass"": ""link"", ""names_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": ""link""}], ""level_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""NEPEAN HIGHWAY"", ""class"": ""primary""}"
c85d098e-91cf-4bb4-8f1e-c010db3e6039,au_melbourne_423,"LINESTRING (144.9786009999999976 -37.8448630999999978, 144.9786649000000125 -37.8448448999999982, 144.9786818999999980 -37.8448409000000012, 144.9787024999999971 -37.8448360000000008, 144.9787345000000016 -37.8448309999999992, 144.9787678000000142 -37.8448288000000019)","LINESTRING (144.9786914568659881 -37.8448385615102012, 144.9789632011649871 -37.8448740887222996, 144.9803129498529870 -37.8450500670619974)","{""name"": ""Commercial Road"", ""class"": ""primary"", ""names_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": ""Commercial Road""}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""level_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""COMMERCIAL ROAD"", ""class"": ""secondary""}"
6eea251b-6e73-490f-8e86-1c22a99cf410,au_melbourne_8324,"LINESTRING (145.2195012999999904 -37.6231349999999978, 145.2199890999999923 -37.6226315999999983)","LINESTRING (145.2178770434869932 -37.6233182813764984, 145.2181512497259916 -37.6229072158855971, 145.2182070228909936 -37.6228179800199030, 145.2182964789369919 -37.6227490568722018, 145.2183636184510078 -37.6227158298560980, 145.2184711656850027 -37.6227017651710014, 145.2187563592439972 -37.6227313040752023, 145.2191118039150126 -37.6227858527659009, 145.2192963485200039 -37.6227941479677028, 145.2195093532129988 -37.6227915967317017, 145.2196978677779953 -37.6227664334772030, 145.2198429340830046 -37.6227168603589988, 145.2198111834730128 -37.6227762093197029, 145.2194731040949875 -37.6231145142624968)","{""name"": ""Heidelberg - Kinglake Road"", ""class"": ""service"", ""names_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": ""Heidelberg - Kinglake Road""}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""level_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""HEIDELBERG-KINGLAKE ROAD"", ""class"": ""secondary""}"
436679f4-601a-4a9a-8726-be2f7bf7ce7c,au_melbourne_425,"LINESTRING (144.9157682999999963 -37.8303326999999996, 144.9155106999999987 -37.8305638000000002, 144.9153258999999991 -37.8307161999999977, 144.9148294999999962 -37.8310905000000020)","LINESTRING (144.9121322073330020 -37.8324179030908994, 144.9123997109539914 -37.8323233487935013, 144.9127220461629975 -37.8322103642251975, 144.9129995123560093 -37.8321038145364028, 144.9133218531530076 -37.8319843609894022, 144.9135911896979962 -37.8318519273926981, 144.9138686800189930 -37.8317130307716027, 144.9141502908510120 -37.8315450252023027, 144.9143870142289927 -37.8313899252855990, 144.9147518970949875 -37.8311255438151974, 144.9151298156490100 -37.8308131382066009, 144.9157189391370082 -37.8302895056188007, 144.9161524582559935 -37.8298934707832970, 144.9164470030839880 -37.8296470620279024, 144.9166526006040101 -37.8294930711128998, 144.9168803972229966 -37.8293567097392014, 144.9170970591960099 -37.8292423606485997, 144.9173136850399999 -37.8291500315508031, 144.9175858519170106 -37.8290533343231985, 144.9178626193969990 -37.8289768859717981, 144.9179357399129913 -37.8289566905410979, 144.9183294900410033 -37.8288563887014035, 144.9203752235989953 -37.8283399509787017, 144.9209547716480131 -37.8281977779564969, 144.9227337839870131 -37.8277613029973026)","{""name"": ""Cook Street"", ""class"": ""primary"", ""names_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": ""Cook Street""}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""level_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""COOK STREET"", ""class"": ""secondary""}"
0b513eb2-b0de-46bc-8efc-2de0d85aaf32,au_melbourne_675,"LINESTRING (145.1180155000000127 -37.8004756999999998, 145.1180247000000065 -37.8000583000000034, 145.1180285000000083 -37.8000085999999982)","LINESTRING (145.1183944766229956 -37.7965783321541977, 145.1183842535020005 -37.7967207381008024, 145.1183550358549894 -37.7969078628555977, 145.1183291788690042 -37.7972108444185011, 145.1183261360650079 -37.7974132686089987, 145.1184088017949989 -37.7979663808470008, 145.1184151798499897 -37.7983191644889018, 145.1183631771000080 -37.7987412681872001, 145.1182683325170046 -37.7992077509560005, 145.1181293805169901 -37.7998771241556994, 145.1180224423710001 -37.8004731989849034, 145.1177822656430010 -37.8018119770053005, 145.1175994971900138 -37.8028307789300015, 145.1175317804299993 -37.8032081536652029, 145.1174160154519939 -37.8038533903047025, 145.1173883776349953 -37.8040074520069993, 145.1171778212080028 -37.8051809619437975)","{""name"": ""Elgar Road"", ""class"": ""primary"", ""names_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": ""Elgar Road""}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""level_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""ELGAR ROAD"", ""class"": ""secondary""}"
27405532-0d91-4f5e-95f4-1b906fcff21c,au_melbourne_2142,"LINESTRING (145.1703038999999933 -38.0691143000000025, 145.1701750000000004 -38.0690985999999967)","LINESTRING (145.1562285330089992 -38.0674998292207007, 145.1571364889879874 -38.0675295370363997, 145.1575767640190122 -38.0675655752347026, 145.1587418626249928 -38.0677090360161969, 145.1589918199750002 -38.0677398143677976, 145.1628358661710081 -38.0682130489070971, 145.1670642062020136 -38.0687334110376980, 145.1681457872319925 -38.0688731651062966, 145.1702209056979882 -38.0691247721842032, 145.1713748112559870 -38.0692704148026024, 145.1784514287230081 -38.0701318212473012, 145.1807591031719937 -38.0704244153185982, 145.1809288737769918 -38.0704452873811974, 145.1811731616930103 -38.0704751363017024, 145.1813819408210122 -38.0705006508307022, 145.1816620230900128 -38.0705348673599033, 145.1821009787740024 -38.0705885025442967, 145.1823497931750069 -38.0706189007904001, 145.1826976571819898 -38.0706614005358972, 145.1845439443800103 -38.0709055581230018, 145.1878034769559918 -38.0712469159502973, 145.1947992122890128 -38.0721115055762027)","{""name"": ""Thompson Road"", ""class"": ""primary"", ""names_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": ""Thompson Road""}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""level_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""THOMPSON ROAD"", ""class"": ""secondary""}"
a688b674-ee61-4230-99f2-f8178b7882ed,au_melbourne_2171,"LINESTRING (145.0621537000000103 -37.8360059000000035, 145.0621698999999865 -37.8359967000000026, 145.0622676000000126 -37.8359516000000013, 145.0625827000000072 -37.8357388000000014, 145.0626818000000071 -37.8356532000000030, 145.0628078000000016 -37.8355265000000003, 145.0628182000000095 -37.8355162000000007, 145.0630540999999880 -37.8352232000000015)","LINESTRING (145.0644052283620056 -37.8289958973062994, 145.0643633370409873 -37.8290895984281974, 145.0642130180100082 -37.8296126906753969, 145.0638507135450084 -37.8314791946266027, 145.0636895997920135 -37.8321422190687002, 145.0632172302250069 -37.8346358487016019, 145.0631553101410134 -37.8349627556652024, 145.0630891442409904 -37.8352041656251004, 145.0629074323989869 -37.8355026710056990, 145.0627955784129881 -37.8356411676591975, 145.0626943671109927 -37.8357228427188019, 145.0622055548280116 -37.8360234702434965)","{""name"": ""Trafalgar Road"", ""class"": ""primary"", ""names_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": ""Trafalgar Road""}], ""subclass_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": null}], ""level_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": 0}], ""road_flags_lr"": [{""start"": 0.0, ""end"": 1.0, ""value"": []}]}","{""name"": ""TRAFALGAR ROAD"", ""class"": ""secondary""}"
